id,device_id,timestamp,data,sensor_type
96,KPCL0022,2025-05-04 23:40:32.067,"{'unit': 'g', 'value': -0.184135, 'timestamp': '04/05/2025, 19:40:31'}",weight
97,KPCL0022,2025-05-04 23:40:36.942,"{'unit': '°C', 'value': 24.6, 'timestamp': '04/05/2025, 19:40:36'}",temperature
98,KPCL0022,2025-05-04 23:40:36.977,"{'unit': '%', 'value': 25, 'timestamp': '04/05/2025, 19:40:36'}",humidity
99,KPCL0022,2025-05-04 23:40:37.007,"{'unit': 'lux', 'value': 112, 'timestamp': '04/05/2025, 19:40:36'}",light
100,KPCL0022,2025-05-04 23:40:37.038,"{'unit': 'g', 'value': -0.200713, 'timestamp': '04/05/2025, 19:40:36'}",weight
101,KPCL0022,2025-05-04 23:40:41.997,"{'unit': '°C', 'value': 24.6, 'timestamp': '04/05/2025, 19:40:41'}",temperature
102,KPCL0022,2025-05-04 23:40:42.028,"{'unit': '%', 'value': 24.9, 'timestamp': '04/05/2025, 19:40:41'}",humidity
103,KPCL0022,2025-05-04 23:40:42.059,"{'unit': 'lux', 'value': 122, 'timestamp': '04/05/2025, 19:40:41'}",light
104,KPCL0022,2025-05-04 23:40:42.089,"{'unit': 'g', 'value': -0.191617, 'timestamp': '04/05/2025, 19:40:41'}",weight
105,KPCL0022,2025-05-04 23:40:46.955,"{'unit': '°C', 'value': 24.6, 'timestamp': '04/05/2025, 19:40:46'}",temperature
106,KPCL0022,2025-05-04 23:40:46.986,"{'unit': '%', 'value': 24.9, 'timestamp': '04/05/2025, 19:40:46'}",humidity
107,KPCL0022,2025-05-04 23:40:47.016,"{'unit': 'lux', 'value': 109, 'timestamp': '04/05/2025, 19:40:46'}",light
108,KPCL0022,2025-05-04 23:40:47.048,"{'unit': 'g', 'value': -0.190876, 'timestamp': '04/05/2025, 19:40:46'}",weight
109,KPCL0022,2025-05-04 23:40:51.923,"{'unit': '°C', 'value': 24.5, 'timestamp': '04/05/2025, 19:40:51'}",temperature
110,KPCL0022,2025-05-04 23:40:51.955,"{'unit': '%', 'value': 24.9, 'timestamp': '04/05/2025, 19:40:51'}",humidity
111,KPCL0022,2025-05-04 23:40:51.986,"{'unit': 'lux', 'value': 122, 'timestamp': '04/05/2025, 19:40:51'}",light
112,KPCL0022,2025-05-04 23:40:52.017,"{'unit': 'g', 'value': -0.176155, 'timestamp': '04/05/2025, 19:40:51'}",weight
113,KPCL0022,2025-05-04 23:40:56.969,"{'unit': '°C', 'value': 24.5, 'timestamp': '04/05/2025, 19:40:56'}",temperature
114,KPCL0022,2025-05-04 23:40:56.999,"{'unit': '%', 'value': 24.9, 'timestamp': '04/05/2025, 19:40:56'}",humidity
115,KPCL0022,2025-05-04 23:40:57.030,"{'unit': 'lux', 'value': 127, 'timestamp': '04/05/2025, 19:40:56'}",light
116,KPCL0022,2025-05-04 23:40:57.060,"{'unit': 'g', 'value': -0.189447, 'timestamp': '04/05/2025, 19:40:56'}",weight
117,KPCL0022,2025-05-04 23:41:01.931,"{'unit': '°C', 'value': 24.5, 'timestamp': '04/05/2025, 19:41:01'}",temperature
118,KPCL0022,2025-05-04 23:41:01.962,"{'unit': '%', 'value': 24.9, 'timestamp': '04/05/2025, 19:41:01'}",humidity
119,KPCL0022,2025-05-04 23:41:01.992,"{'unit': 'lux', 'value': 121, 'timestamp': '04/05/2025, 19:41:01'}",light
120,KPCL0022,2025-05-04 23:41:02.022,"{'unit': 'g', 'value': -0.186231, 'timestamp': '04/05/2025, 19:41:01'}",weight
121,KPCL0022,2025-05-04 23:41:06.983,"{'unit': '°C', 'value': 24.5, 'timestamp': '04/05/2025, 19:41:06'}",temperature
122,KPCL0022,2025-05-04 23:41:07.014,"{'unit': '%', 'value': 24.9, 'timestamp': '04/05/2025, 19:41:06'}",humidity
123,KPCL0022,2025-05-04 23:41:07.044,"{'unit': 'lux', 'value': 112, 'timestamp': '04/05/2025, 19:41:06'}",light
124,KPCL0022,2025-05-04 23:41:07.074,"{'unit': 'g', 'value': -0.189566, 'timestamp': '04/05/2025, 19:41:06'}",weight
125,KPCL0022,2025-05-04 23:41:11.950,"{'unit': '°C', 'value': 24.4, 'timestamp': '04/05/2025, 19:41:11'}",temperature
126,KPCL0022,2025-05-04 23:41:11.980,"{'unit': '%', 'value': 24.9, 'timestamp': '04/05/2025, 19:41:11'}",humidity
127,KPCL0022,2025-05-04 23:41:12.011,"{'unit': 'lux', 'value': 124, 'timestamp': '04/05/2025, 19:41:11'}",light
128,KPCL0022,2025-05-04 23:41:12.041,"{'unit': 'g', 'value': -0.189473, 'timestamp': '04/05/2025, 19:41:11'}",weight
129,KPCL0022,2025-05-04 23:41:16.914,"{'unit': '°C', 'value': 24.4, 'timestamp': '04/05/2025, 19:41:16'}",temperature
130,KPCL0022,2025-05-04 23:41:16.944,"{'unit': '%', 'value': 25, 'timestamp': '04/05/2025, 19:41:16'}",humidity
131,KPCL0022,2025-05-04 23:41:16.974,"{'unit': 'lux', 'value': 109, 'timestamp': '04/05/2025, 19:41:16'}",light
132,KPCL0022,2025-05-04 23:41:17.005,"{'unit': 'g', 'value': -0.212434, 'timestamp': '04/05/2025, 19:41:16'}",weight
133,KPCL0022,2025-05-04 23:41:21.964,"{'unit': '°C', 'value': 24.4, 'timestamp': '04/05/2025, 19:41:21'}",temperature
134,KPCL0022,2025-05-04 23:41:21.993,"{'unit': '%', 'value': 25, 'timestamp': '04/05/2025, 19:41:21'}",humidity
135,KPCL0022,2025-05-04 23:41:22.024,"{'unit': 'lux', 'value': 119, 'timestamp': '04/05/2025, 19:41:21'}",light
136,KPCL0022,2025-05-04 23:41:22.055,"{'unit': 'g', 'value': -0.188803, 'timestamp': '04/05/2025, 19:41:21'}",weight
137,KPCL0022,2025-05-04 23:41:26.971,"{'unit': '°C', 'value': 24.4, 'timestamp': '04/05/2025, 19:41:26'}",temperature
138,KPCL0022,2025-05-04 23:41:27.001,"{'unit': '%', 'value': 25, 'timestamp': '04/05/2025, 19:41:26'}",humidity
139,KPCL0022,2025-05-04 23:41:27.032,"{'unit': 'lux', 'value': 120, 'timestamp': '04/05/2025, 19:41:26'}",light
140,KPCL0022,2025-05-04 23:41:27.062,"{'unit': 'g', 'value': -0.163817, 'timestamp': '04/05/2025, 19:41:26'}",weight
141,KPCL0022,2025-05-04 23:41:31.983,"{'unit': '°C', 'value': 24.4, 'timestamp': '04/05/2025, 19:41:31'}",temperature
142,KPCL0022,2025-05-04 23:41:32.013,"{'unit': '%', 'value': 25.1, 'timestamp': '04/05/2025, 19:41:31'}",humidity
143,KPCL0022,2025-05-04 23:41:32.044,"{'unit': 'lux', 'value': 115, 'timestamp': '04/05/2025, 19:41:31'}",light
144,KPCL0022,2025-05-04 23:41:32.074,"{'unit': 'g', 'value': -0.152621, 'timestamp': '04/05/2025, 19:41:31'}",weight
145,KPCL0022,2025-05-04 23:41:36.946,"{'unit': '°C', 'value': 24.4, 'timestamp': '04/05/2025, 19:41:36'}",temperature
146,KPCL0022,2025-05-04 23:41:36.977,"{'unit': '%', 'value': 25.2, 'timestamp': '04/05/2025, 19:41:36'}",humidity
147,KPCL0022,2025-05-04 23:41:37.007,"{'unit': 'lux', 'value': 118, 'timestamp': '04/05/2025, 19:41:36'}",light
148,KPCL0022,2025-05-04 23:41:37.037,"{'unit': 'g', 'value': -0.178515, 'timestamp': '04/05/2025, 19:41:36'}",weight
149,KPCL0022,2025-05-04 23:41:41.999,"{'unit': '°C', 'value': 24.4, 'timestamp': '04/05/2025, 19:41:41'}",temperature
150,KPCL0022,2025-05-04 23:41:42.029,"{'unit': '%', 'value': 25.2, 'timestamp': '04/05/2025, 19:41:41'}",humidity
151,KPCL0022,2025-05-04 23:41:42.060,"{'unit': 'lux', 'value': 122, 'timestamp': '04/05/2025, 19:41:41'}",light
152,KPCL0022,2025-05-04 23:41:42.091,"{'unit': 'g', 'value': -0.163076, 'timestamp': '04/05/2025, 19:41:41'}",weight
153,KPCL0022,2025-05-04 23:41:46.961,"{'unit': '°C', 'value': 24.4, 'timestamp': '04/05/2025, 19:41:46'}",temperature
154,KPCL0022,2025-05-04 23:41:46.991,"{'unit': '%', 'value': 25.3, 'timestamp': '04/05/2025, 19:41:46'}",humidity
155,KPCL0022,2025-05-04 23:41:47.021,"{'unit': 'lux', 'value': 119, 'timestamp': '04/05/2025, 19:41:46'}",light
156,KPCL0022,2025-05-04 23:41:47.054,"{'unit': 'g', 'value': -0.14533, 'timestamp': '04/05/2025, 19:41:46'}",weight
